id,name,address,areaCode,email,URLIcono,long,lat,state,town,isEmtParking,Plazas_standard,Plazas_PMR
64,Puerta Toledo,Glorieta Puerta Toledo C/V Cptan. Salazar Martínez,,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.7110512,40.407036,España,Madrid,N,244,0
67,Villa de París,Plaza Villa de París,28004.0,villa.de.paris@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.692336,40.4251,España,Madrid,Y,179,4
69,Barceló,"C/ Barceló, s/n",,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.700366,40.426438,España,Madrid,Y,554,0
71,Pedro Zerolo,"Plaza Pedro Zerolo, s/n",28004.0,pedro.zerolo@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.699282,40.420653,España,Madrid,Y,115,3
73,Agustín Lara,Plaza Arturo Barea,28012.0,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.703414,40.408628,España,Madrid,Y,52,0
74,Fuente de la Mora,"Av. de Manoteras, 1D",28050.0,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.663501,40.484395,España,Madrid,Y,414,12
75,GARAJE AMPARO,CALLE AMPARO,28012.0,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.701445,40.407933,ESPAÑA,MADRID,N,68,0
76,Pitis,"Calle Gloria Fuertes, 191",28035.0,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.723984502,40.496558,España,Madrid,Y,461,10
77,PLAZA DE SANTA ANA,PZA. DE SANTA ANA,28014.0,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.700645,40.414533,ESPAÑA,MADRID,N,328,6
78,Islazul,"Calle Calderilla, 1",28054.0,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.738932785,40.364416188,España,Madrid,Y,224,0
79,Aviación Española,"Calle Fuente de Lima, 2",28024.0,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.783541162,40.383721163,España,Madrid,Y,359,9
80,Wanda Metropolitano,"Avda. Arcentales, 39",28022.0,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.60067257,40.4335587,España,Madrid,Y,3027,0
81,Paseo Artilleros 360,"San Cipriano, 3",28032.0,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.6091345,40.4046325,España,Madrid,Y,148,4
82,Altamiras,"C/ Fco Altimiras, 4
",,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.663694,40.433787,España,Madrid,Y,59,0
84,Elvira,"C/ Elvira, 42",28028.0,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.665728,40.420947,España,Madrid,Y,190,0
85,Ginzo de Limia,"C/ Ginzo de Limia, 66
",,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.707068,40.484704,España,Madrid,Y,97,0
86,La Latina,Calle de Toledo,28005.0,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.710914,40.408782,España,Madrid,N,160,0
87,Pradillo II,"C/ Pradillo, 31
",,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.671122,40.449119,España,Madrid,Y,64,0
88,BARCO 1,Calle Barco,28004.0,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.702918,40.421107,ESPAÑA,MADRID,N,50,0
89,GRAVINA 21,Calle Gravina,28004.0,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.696436,40.422704,ESPAÑA,MADRID,N,25,0
90,Samaranch,"C/ Paseo Imperial, 18
",,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.718239,40.408244,España,Madrid,Y,233,0
91,Aparcamiento Escuelas de San Anton,SANTA BRIGIDA ,28004.0,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.699445,40.424419,ESPAÑA,MADRID,N,0,6
94,MERCADO SAN ANTON,LIBERTAD,28004.0,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.697468,40.421693,ESPAÑA,MADRID,N,100,0
95,Colón,"Plaza de Colón, s/n
",,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.689574,40.424419,España,Madrid,Y,4,0
96,GARAJE PIAMONTE,PIAMONTE,28004.0,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.694675,40.42305,ESPAÑA,MADRID,N,95,0
97,PARKING VOT,Ventosa,28005.0,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.714779,40.408671,ESPAÑA,MADRID,N,90,3
98,ISABEL LA CATOLICA,Calle de Isabel la Católica,28007.0,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.709122,40.421829,ESPAÑA,MADRID,N,137,0
99,Museo de la ciudad,"c/ Cartagena 178
",,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.677665,40.444212,España,Madrid,Y,146,0
101,SANTO DOMINGO,Plaza de Santo Domingo,28013.0,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.77087154,40.4197986,España,Madrid,N,333,0
104,Velázquez-JuanBravo,,,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.465464,40.465465,España,Madrid,Y,0,5
105,Arquitecto Ribera,,,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.465464,40.465465,España,Madrid,Y,0,5
501,Mercado de la Cebada,Plaza de la Cebada s/n,28005.0,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.709082,40.41049,España,Madrid,N,206,0
1239,Hub de Movilidad Canalejas 360,"Calle de Alcalá, 17",28014.0,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.699137,40.417901,España,Madrid,Y,30,0
